"";"MH1";"MH2";"Name";"Data.File";"Type";"Level";"Acq.Date.Time";"STAGIONE";"STRINGA";"MAN";"FIELD";"TIL";"PARC";"12MetC14.0.on.242";"12MetC14.0.on.TIC";"11MetC14.0.on.242";"11MetC14.0.on.TIC";"00LinC14.0";"13MetC15.0";"12MetC15.0";"08MetC15.0";"00LinC15.0";"14MetC16.0";"12EthC16.0";"00Linc16.0";"12EthC17.0";"00LinC16.1";"15MetC17.0.on.TIC";"15MetC17.0";"00LinC16.1.om5.UNK";"14MetC17.0";"12ProC18.0";"02HydC16.0";"00LinC17.0";"00LinC17.2.9.10CIS";"00LinC17.1.om9";"10MetC17.0.on.TIC";"10MetC17.0.on.74";"10MetC17.0";"00LinC18.0";"18MetC19.0";"00LinC18.1.om6.CISTRANS";"10MetC18.0.on.TIC";"10MetC18.0.on.74";"00LinC18.1.om5";"00LinC18.2";"00LinC19.0";"00LinC19.0.delta";"00LinC20.0";"00LinC20.2";"00LinC20.2.11.14CIS";"SOMMA.AREE"
"1";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 500 M.D";"Cal";6;2017-06-26 11:24:00;"Aut";NA;NA;NA;NA;"A";86;182;44;20;62145;52271;39057;92;58638;47854;49;56162;12152;1600;259464;47276;75;47305;77;10244;49531;1135;61;1730;67;1917;1907;23;525;829;5;5;18229;46458;105;2279;196;774;820569
"2";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 300 M.D";"Cal";5;2017-06-26 12:10:00;"Aut";NA;NA;NA;NA;"A";57;421;25;29;81055;66684;49642;213;71543;56360;134;62181;13534;1773;270013;49647;61;111;50;13530;51482;1253;26;1173;42;1;1567;14;536;209;91;11;16282;42999;1221;2121;631;343;857065
"3";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 200 M.D";"Cal";4;2017-06-26 12:56:00;"Aut";NA;NA;NA;NA;"A";50;280;7;46;167823;144994;108277;219;162285;141065;62;164970;34646;4963;773165;140564;24;15;57;34109;151282;3699;201;5009;183;1;5883;32;1440;3537;96;13;58794;138240;3550;6001;864;682;2257128
"4";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 100 M.D";"Cal";3;2017-06-26 13:42:00;"Aut";NA;NA;NA;NA;"A";86;336;12;9;262568;217063;160629;127;229856;186710;1445;211111;47781;6456;971316;183083;85;2;39;48914;201351;4984;455;3948;20;12;7066;14;1795;560;931;25;78784;178759;3806;7740;480;847;3019205
"5";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"STD BAME DIL 20 M.D";"Cal";1;2017-06-26 14:52:00;"Aut";NA;NA;NA;NA;"A";53;3741;10;57;4798489;3557062;2634969;182;3751477;2598206;219;2844419;625891;33437;10329203;1961140;289;59;0;1030024;1073174;54985;105;778;1458;1;62206;53;24261;3865;211;197;933974;1908442;60239;127217;983;809;38421885
"6";"!";"!";"c19 dil 50";"STD BAME DIL 50.D";"Cal";2;2017-06-28 16:59:00;"Aut";NA;NA;NA;NA;"A";38;962;0;34;1250668;1019970;758731;156;1096021;865169;2673;952163;201541;26917;3872723;736049;15;76;415;241848;730844;17276;1901;770;139;0;24153;21;4502;2004;58;8;264178;541916;5825;22610;308;77;12642759
"7";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B3 M.D";"Sample";NA;2017-06-22 19:25:00;"Aut";"CO10B3m";"CO";"10";"Rip";"3";72;26660;13;166;15858;28675;14341;1690;7226;22104;779;231307;38134;511;127265;18752;777;13537;18933;85;8297;56;23;599;54;0;1881;240;940;200;55;313;6418;249290;448;206;790;714;837409
"8";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B3 M RICORSO.D";"Sample";NA;2017-06-22 20:11:00;"Aut";"CO10B3m";"CO";"10";"Rip";"3";28;3139;20;69;24834;53172;30082;5423;9288;47773;7530;457800;72660;1568;110117;31679;1308;27178;33301;192;12426;252;292;1481;449;7;3308;621;2144;241;82;380;29817;453734;1366;600;940;151;1425452
"9";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4B2 M.D";"Sample";NA;2017-06-22 21:43:00;"Aut";"OO04B2m";"OO";"04";"Rip";"2";60;3354;31;126;13994;50457;27465;5147;8716;37795;5248;433439;57096;665;94030;21770;1094;20080;31939;154;9728;168;23;870;41;17;1884;465;1287;597;43;300;139545;433401;1293;432;312;581;1403647
"10";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9B1 M.D";"Sample";NA;2017-06-22 22:29:00;"Aut";"CO09B1m";"CO";"09";"Rip";"1";42;1914;37;185;25355;47706;28136;3100;10435;41541;5410;518928;69190;2558;95851;26002;1511;23076;28090;46;15096;562;295;1075;18;3;4097;560;3035;773;697;584;50382;537747;1082;663;151;22;1545955
"11";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B3 M.D";"Sample";NA;2017-06-22 23:15:00;"Aut";"OO02B3m";"OO";"02";"Rip";"3";94;12293;14;21;34449;78583;44818;6863;10486;46383;6809;198680;50744;934;121288;21180;1009;16985;24983;366;5413;94;209;360;21;3;1396;672;266;942;29;238;6481;322484;769;268;91;450;1017168
"12";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C1M.D";"Sample";NA;2017-06-23 00:01:00;"Aut";"CO09C1m";"CO";"09";"Fzo";"1";72;11711;55;242;45736;106133;57909;8919;17970;73331;9900;394095;92331;1692;191134;35390;1715;30296;47047;64;14754;667;180;1029;44;8;2716;673;641;1056;73;433;19437;439222;1555;558;304;11;1609103
"13";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9B2M.D";"Sample";NA;2017-06-23 00:47:00;"Aut";"CO09B2m";"CO";"09";"Rip";"2";59;863;29;136;5996;29054;16342;3210;6107;32417;5326;204849;55566;792;109787;24676;871;18947;35291;151;9580;211;152;1084;17;5;1846;452;510;447;47;206;13115;406969;1055;212;365;451;987193
"14";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"MIX SOIL.D";"Sample";NA;2017-06-23 01:33:00;"Aut";"MS00D0m";"MS";"00";"D";"0";35;6508;11;175;14799;76015;37885;6520;9772;51996;8157;254631;74500;1619;162250;32176;1451;24770;43085;26;10009;379;91;3817;16;18;1762;476;572;1508;10;391;24357;496238;982;339;622;455;1348423
"15";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C2M.D";"Sample";NA;2017-06-23 02:19:00;"Aut";"CO09C2m";"CO";"09";"Fzo";"2";159;12088;4;114;46376;91352;50837;8166;14256;57929;9096;330034;75520;1863;106614;28056;1563;25085;39587;113;12376;565;101;2566;170;6;2418;448;823;766;33;401;23423;390760;1317;371;907;824;1337087
"16";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10C3M.D";"Sample";NA;2017-06-23 03:05:00;"Aut";"CO10C3m";"CO";"10";"Fzo";"3";85;7003;12;60;16387;51232;29250;4311;3934;34872;4815;140764;40546;1129;93366;17018;849;16398;22150;76;5904;280;46;1522;129;11;1114;201;144;315;9;142;6946;215817;667;194;142;524;718364
"17";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4B1M.D";"Sample";NA;2017-06-23 03:51:00;"Aut";"OO04B1m";"OO";"04";"Rip";"1";70;633;25;104;6094;26461;14031;3303;6863;37528;7021;245222;60641;772;184140;30007;1014;24527;44906;81;8454;396;66;1754;104;4;2894;279;573;707;26;157;12291;529145;1418;551;516;632;1253410
"18";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2C1M.D";"Sample";NA;2017-06-23 04:37:00;"Aut";"OO02C1m";"OO";"02";"Fzo";"1";47;2287;54;60;12981;49642;27093;5890;8068;47646;8568;222407;58288;691;158641;26865;1081;21147;37890;115;8464;68;66;1785;351;5;1604;343;290;2540;44;262;8701;315199;1173;352;348;909;1031965
"19";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10C1M.D";"Sample";NA;2017-06-23 05:23:00;"Aut";"CO10C1m";"CO";"10";"Fzo";"1";109;7728;7;1;41407;78676;47362;7024;6059;56928;8774;353236;72210;2437;173420;28645;1511;29124;35484;146;12164;516;88;2312;28;7;2596;598;750;78;15;456;13687;501691;896;489;175;497;1487331
"20";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4A2M.D";"Sample";NA;2017-06-23 06:10:00;"Aut";"OO04A2m";"OO";"04";"Ara";"2";10;415;15;246;1959;15437;7997;2031;2352;18004;2948;101343;32367;348;45012;15188;728;11107;19475;270;4192;81;14;447;85;11;804;316;142;553;74;121;504;257562;643;112;170;313;543396
"21";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10A2M.D";"Sample";NA;2017-06-23 06:56:00;"Aut";"CO10A2m";"CO";"10";"Ara";"2";38;808;16;30;5764;17601;9343;1902;3207;17945;3425;137433;30724;423;53041;11847;436;9931;19338;58;5029;76;58;1301;63;5;1289;290;339;255;73;73;4718;283899;673;185;374;301;622311
"22";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2C2M.D";"Sample";NA;2017-06-23 07:42:00;"Aut";"OO02C2m";"OO";"02";"Fzo";"2";106;13835;88;45;33955;91424;45023;6008;14623;64149;9441;258766;76545;1202;200110;31913;1644;26878;42440;168;10031;429;148;1240;163;3;1871;983;632;569;20;244;11094;540957;1692;522;163;85;1489209
"23";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10A3M.D";"Sample";NA;2017-06-23 08:28:00;"Aut";"CO10A3m";"CO";"10";"Ara";"3";60;2289;29;70;14069;39353;20783;4587;4642;32941;5444;239938;54569;936;94838;22877;1026;16367;26795;54;7752;132;87;1429;150;6;1671;414;626;285;39;138;10096;276733;643;284;473;243;882868
"24";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4C3M.D";"Sample";NA;2017-06-23 09:14:00;"Aut";"OO04C3m";"OO";"04";"Fzo";"3";82;2510;23;5;25658;53708;30833;5773;12262;59820;8266;492644;78779;2080;144245;34752;2748;29323;39578;84;16526;521;135;1391;47;67;3752;592;2234;2251;41;698;26430;484821;1288;853;268;142;1565230
"25";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9B3M.D";"Sample";NA;2017-06-23 10:31:00;"Aut";"CO09B3m";"CO";"09";"Rip";"3";100;17096;97;163;74708;120174;84610;12866;17657;77043;12877;925136;109763;2214;215996;40377;2696;34548;52861;20;17720;930;393;3300;150;2;5247;578;2706;547;9;595;50195;608618;1590;809;735;377;2495503
"26";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B2M.D";"Sample";NA;2017-06-23 11:16:00;"Aut";"CO10B2m";"CO";"10";"Rip";"2";69;8329;8;52;31322;96178;52295;8712;14905;69472;10731;393317;98662;2107;223507;40826;2080;32485;49387;321;14849;664;95;3307;5;12;2953;911;1553;4986;162;426;24189;649756;1409;608;583;110;1841343
"27";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2A1M.D";"Sample";NA;2017-06-23 12:01:00;"Aut";"OO02A1m";"OO";"02";"Ara";"1";32;1170;27;92;6806;40665;19505;5036;5294;34824;7421;179111;66650;623;174368;27813;715;20401;41506;112;7829;192;159;2795;63;5;1578;376;330;1363;35;137;4666;486749;1161;332;87;879;1140907
"28";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C1M FORSE.D";"Sample";NA;2017-06-23 12:47:00;"Aut";"CO09C1m";"CO";"09";"Fzo";"1";49;3017;65;152;15135;48250;26262;5058;8439;41299;6248;211968;57646;1663;145187;23915;1033;20600;31394;67;9399;357;53;497;105;9;1768;417;585;2034;16;334;13254;394164;1075;472;450;152;1072588
"29";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9A3M.D";"Sample";NA;2017-06-23 13:32:00;"Aut";"CO09A3m";"CO";"09";"Ara";"3";131;4085;22;225;38527;68372;34698;7896;5171;39495;7469;439301;80752;1200;151001;29703;1255;22304;40007;18;11011;305;15;1353;18;2;3435;516;2372;1603;40;178;24722;589538;1382;674;162;206;1609164
"30";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4B3M.D";"Sample";NA;2017-06-23 14:18:00;"Aut";"OO04B3m";"OO";"04";"Rip";"3";27;1329;4;14;33084;68001;39255;6948;14109;66501;11518;524405;95185;1541;274233;43209;2059;35402;57603;182;18122;397;97;316;21;21;4297;479;2163;45;29;534;29334;559001;1587;995;507;344;1892898
"31";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10A1M.D";"Sample";NA;2017-06-23 15:03:00;"Aut";"CO10A1m";"CO";"10";"Ara";"1";79;11330;34;201;65433;89363;45830;5355;9056;53771;9526;343809;71959;1699;171503;26439;1354;20115;35368;51;10174;501;22;2352;77;19;2397;541;1003;1509;39;285;13254;446166;683;423;136;202;1442058
"32";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2A3M.D";"Sample";NA;2017-06-23 15:49:00;"Aut";"OO02A3m";"OO";"02";"Ara";"3";49;1207;26;70;5123;26871;13398;1949;3955;23205;4723;120951;41396;435;63269;18919;604;13685;25958;159;5319;71;73;1512;38;8;1393;491;204;77;74;196;4443;358668;1151;254;766;319;741009
"33";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9A1M.D";"Sample";NA;2017-06-23 18:45:00;"Aut";"CO09A1m";"CO";"09";"Ara";"1";69;6567;50;0;29975;86525;41407;8761;13474;52883;10383;362235;85045;1158;201184;32823;1614;24162;49610;98;11662;364;60;3474;20;4;2616;594;980;1095;77;249;43658;613937;1895;603;109;1184;1690604
"34";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10C2M.D";"Sample";NA;2017-06-23 19:31:00;"Aut";"CO10C2m";"CO";"10";"Fzo";"2";85;10149;49;22;53001;105937;65061;9523;19268;85637;11804;595894;113643;2165;280500;47526;2352;41035;55350;136;16968;717;758;2480;597;19;5082;657;2853;655;59;751;37418;489033;2567;979;154;165;2061049
"35";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4C2M.D";"Sample";NA;2017-06-23 20:17:00;"Aut";"OO04C2m";"OO";"04";"Fzo";"2";164;5887;32;85;33046;98505;50425;6560;7741;67376;11112;282495;87782;1649;222373;34897;1709;29430;47748;40;10765;542;55;1855;160;21;2255;623;633;6711;190;577;13116;586406;1451;410;86;477;1615389
"36";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B1M.D";"Sample";NA;2017-06-23 21:03:00;"Aut";"CO10B1m";"CO";"10";"Rip";"1";91;3234;21;76;17461;63850;37775;6020;17862;59219;9843;319808;98398;1736;210050;35900;1608;29915;50609;33;14245;200;757;3259;93;7;2417;523;695;1244;35;508;16361;461315;1762;671;88;597;1468286
"37";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B2M.D";"Sample";NA;2017-06-23 21:49:00;"Aut";"OO02B2m";"OO";"02";"Rip";"2";92;2745;7;83;22031;57311;32632;6746;10956;53326;8818;408916;75220;784;197116;33135;1366;27235;45632;366;14224;146;216;1723;28;0;3552;558;1970;628;32;448;30440;447333;1459;629;105;253;1488261
"38";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2C3M.D";"Sample";NA;2017-06-23 22:35:00;"Aut";"OO02C3m";"OO";"02";"Fzo";"3";170;6580;20;133;18971;73449;36722;6608;9318;48374;9048;188682;62243;710;152931;28887;1195;21365;37874;121;8165;229;60;710;150;16;1488;290;449;1196;0;205;4553;340676;1401;275;909;453;1064626
"39";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4A1M.D";"Sample";NA;2017-06-23 23:21:00;"Aut";"OO04A1m";"OO";"04";"Ara";"1";75;2719;22;30;5967;33767;15745;2893;4876;24231;3637;108000;36030;549;91827;15399;846;12311;20791;83;3455;265;260;1692;6;9;676;154;104;679;31;121;3695;190114;627;161;544;62;582453
"40";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9A2M.D";"Sample";NA;2017-06-24 00:07:00;"Aut";"CO09A2m";"CO";"09";"Ara";"2";110;6920;42;82;31792;65036;30551;4821;10080;39342;6888;240034;61177;718;155113;24055;989;18454;30905;85;7665;120;21;1147;5;3;1676;269;584;2992;1;192;4395;288384;763;309;393;374;1036487
"41";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4C1M.D";"Sample";NA;2017-06-24 00:53:00;"Aut";"OO04C1m";"OO";"04";"Fzo";"1";183;17236;8;92;85230;108034;65828;11375;19082;70252;11440;462504;76490;3785;153248;27379;2105;24421;34958;45;12008;286;34;3395;33;6;2454;397;1503;4672;8;222;18232;268939;1050;454;71;795;1488254
"42";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4A3M.D";"Sample";NA;2017-06-24 01:39:00;"Aut";"OO04A3m";"OO";"04";"Ara";"3";65;2737;5;32;23034;45477;23001;4894;8877;36034;6691;250488;55406;554;88356;20745;894;14470;26832;259;5016;116;240;3121;30;25;1926;197;603;1803;1;176;6979;439997;916;284;41;846;1071168
"43";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2A2M.D";"Sample";NA;2017-06-24 02:25:00;"Aut";"OO02A2m";"OO";"02";"Ara";"2";92;2374;15;110;8390;49504;27753;7724;7679;45129;10577;184377;73293;417;136547;30208;1330;24935;47906;97;8882;276;22;706;66;7;1737;245;460;1832;77;336;5312;325315;1379;355;591;3206;1009261
