Sample;;;;;;;i-C14:0 sul 242 Results;i-C14:0 Results;a-C14:0 sul 242 Results;a-C14:0 Results;C14:0 Results;i-C15:0 Results;a-C15:0 Results;8MethylC15:0 Results;C15:0 Results;i-C16:0 Results;12EthylC16:0 Results;C16:0 Results;12EthylC17:0 Results;C16:1 Results;i-C17:0 sul tic  Results;i-C17:0 Results;C16:1 omega5  Results;a-C17:0 Results;forse12propylC18:0 Results;2HydroxyC16:0 Results;C17:0 Results;cis 9.10 methylenehexadecanoate Results;C17:1 omega 9 Results;10MethylC17:0 sul tic Results;10MethylC17:0 sol 74 Results;10MethylC17:0 Results;C18:0 Results;forse i-C19:0 Results;C18:1 omega 6 cis e trans Results;10MethylC18:0 sul tic Results;10MethylC18:0 sul 74 Results;C18:1 omega 5 Results;C18:2 Results;C19:0 Results;C19:0 delta Results;C20:0 Results;C20:2 Results;cis-11.14-Eicosadienoic acid methyl ester Results
;;Name;Data File;Type;Level;Acq. Date-Time;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;KOVATS MIX 25 PPM.D;Sample;;28/09/2017 02:44;19;372;28;103;476;268;229;91;313;705;217;2547;216;137;13771440;499;185;387;1870;1791;364;74;21;131003;2939;43;30;26;44;0;556;26;449;9268;147;35;831;70757
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;2-9B1 COLONNA TAGLIATA.D;Sample;;28/09/2017 03:31;996;19137;15;192;38710;138157;78018;6344;19714;78964;7540;618091;55277;46;88146;13251;91;49808;33182;751;45992;2274;17;1852;69;0;252198;7956;7790;5601;2082;257;166165;2088933;56;8270;538;897
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;3-4C1 COLONNA TAGLIATA.D;Sample;;28/09/2017 04:18;186;4836;30;25;6095;48364;28161;2883;8391;30929;3588;368084;31946;55;59632;9059;56;26951;9656;752;11903;1124;56;1482;0;0;297365;4503;5363;0;0;322;114953;1681076;36;6914;59;38
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;4-9B2 COLONNA TAGLIATA.D;Sample;;28/09/2017 05:06;705;10098;51;164;32779;111705;66832;6213;16542;72692;5234;471110;56090;48;115811;13522;36;44123;35568;660;41108;2094;59;110;0;0;81980;8128;7600;5541;741;456;158059;2206191;71;6014;805;93
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;5-9C2 COLONNA TAGLIATA.D;Sample;;28/09/2017 05:52;1896;35553;0;193;54387;261364;137422;15627;32353;161046;11327;640791;120102;112;110516;16431;108;81102;79709;439;68541;3406;26;1057;0;0;42176;11355;4331;0;365;296;97454;1500711;0;5429;0;10
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;6-9B3 COLONNA TAGLIATA.D;Sample;;28/09/2017 06:39;1037;20244;51;12;39260;156180;85709;9316;21525;96361;4695;512187;50195;146;27562;1618;34;29827;45229;139;28631;1740;71;755;33;0;46187;7774;6616;2883;467;256;148568;1877690;89;5551;0;19
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;7-MIX BIS COLONNA TAGLIATA.D;Sample;;28/09/2017 07:26;752;14289;18;6;23116;130603;65633;10487;14879;76471;6491;344934;60712;13;49873;8395;37;40996;49868;265;31848;1593;17;823;109;0;98918;6095;3435;0;1636;115;59055;873159;28;4225;58;564
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;8-10B2 COLONNA TAGLIATA.D;Sample;;28/09/2017 08:13;523;10649;32;295;18783;131795;67060;8174;14578;85964;10368;370671;62123;123;77358;9362;56;44976;46849;762;32285;2441;136;687;0;0;186340;6535;2102;5701;3719;166;37034;684452;38;5058;171;158
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;9-9A2 COLONNA TAGLIATA.D;Sample;;28/09/2017 09:00;39;311;10;192;241;278;163;245;290;436;524;1644;430;154;44107;265;231;233;416;36;254;43;34;0;97;28;80;21;66;0;0;59;1065;5290;34;82;0;30
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;10-2C2 COLONNA TAGLIATA.D;Sample;;28/09/2017 09:47;79;120;31;127;396;442;192;181;465;245;331;204;229;111;20044;933;35;413;103;355;340;25;42;0;379;34;114;44;26;0;325;6;561;2404;16;28;191;924
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;11-2B2 COLONNA TAGLIATA.D;Sample;;28/09/2017 10:34;692;11336;11;4;20637;86573;46205;4807;11329;48899;6634;257031;39288;26;44233;9086;38;30568;27254;854;26971;999;65;0;105;0;20678;4134;4139;0;483;8;82329;1119203;24;2606;1084;0
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;12-10C3 COLONNA TAGLIATA.D;Sample;;28/09/2017 11:20;267;5874;49;5;14164;69664;38859;5563;10307;48454;4766;269415;37987;88;50567;5220;86;33384;29547;617;28310;1582;56;5896;98;0;32435;5137;5079;0;0;279;102253;1470170;23;4037;27;776
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;13-10A3 COLONNA TAGLIATA.D;Sample;;28/09/2017 12:07;753;14966;2;153;24458;131068;67940;9944;13848;77429;8870;309997;64568;115;85436;11441;23;43077;43043;663;32997;1432;28;2665;0;0;33870;4570;3584;0;1483;309;64298;754926;4;2942;18;870
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;14-9A3 COLONNA TAGLIATA.D;Sample;;28/09/2017 12:53;310;7479;31;109;19477;66787;35937;4833;9284;36145;2308;275217;38130;106;23715;1996;113;22537;21220;482;18802;951;54;3512;100;0;123726;2995;3159;6084;2448;110;8514;1083538;47;3542;1255;43
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;15-MIX BIS COLONNA TAGLIATA.D;Sample;;28/09/2017 13:39;688;10686;20;104;21593;100579;56257;6277;14303;63114;6686;354867;55327;67;69621;10270;53;39139;37129;1457;31294;2402;62;3397;0;0;87702;6009;4144;5992;0;88;80116;1325896;57;4681;548;228
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;16-4B1 COLONNA TAGLIATA.D;Sample;;28/09/2017 14:25;7;303;88;64;1586;5199;4353;914;1116;7520;828;85505;7086;15;20245;1147;32;7752;5129;540;4676;369;132;2683;0;0;47258;1585;1663;4169;653;165;26888;507649;10;2048;1172;223
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;17-10C1 COLONNA TAGLIATA.D;Sample;;28/09/2017 15:11;1268;25454;2;7;41932;195111;106263;9130;26082;130787;7801;544188;84898;15;141361;18584;75;67270;63607;1444;63008;3171;43;7508;0;0;45306;9871;7526;0;445;257;151001;1822130;70;6877;35;0
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;18-9C1 COLONNA TAGLIATA.D;Sample;;28/09/2017 15:57;111;3106;26;36;9772;54544;32763;3304;9372;42271;1474;271220;33482;16;27876;6408;132;26309;19627;828;22533;1323;31;0;0;0;29931;4319;3125;926;473;249;59566;855645;23;2710;125;764
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;19-10B3 BIS COLONNA TAGLIATA.D;Sample;;28/09/2017 16:43;1398;28028;16;2;50843;284869;132530;16117;32794;150363;14528;673814;157231;5;99483;17945;116;95803;101597;825;68292;4275;29;0;159;0;47257;13197;5712;3953;1144;280;124586;1579999;11;6964;0;619
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;20-2B1 COLONNA TAGLIATA.D;Sample;;28/09/2017 17:28;522;11971;61;1;20207;134758;72357;15121;14745;98541;12263;342748;84393;16;57968;7607;167;59618;78096;1191;44915;2218;85;0;0;0;21010;7847;3798;1841;922;172;77622;1200884;9;4053;60;784
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;21-10C2 COLONNA TAGLIATA.D;Sample;;28/09/2017 18:14;1083;21531;2;1;35321;187131;100673;14605;22818;116879;15423;463616;95542;107;81042;15179;114;63128;78760;1283;47961;3000;55;8037;0;0;131426;8801;3004;0;0;205;7512;1129213;14;6039;246;88
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;22-9A1 COLONNA TAGLIATA.D;Sample;;28/09/2017 19:00;181;5207;49;55;14785;47783;25577;3152;7817;26297;2084;246329;25870;98;21694;4982;58;17507;14299;814;16374;463;111;0;0;0;112081;3106;3315;7184;0;115;69332;857445;93;3673;0;463
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;23-10B1 COLONNA TAGLIATA.D;Sample;;28/09/2017 19:46;748;12357;4;136;23269;109905;59083;7092;11307;61899;7679;346527;49124;41;47274;5462;26;40641;39613;801;34261;989;144;0;0;0;51674;7400;4809;0;0;317;98166;1567620;12;4589;27;690
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;24-2A3 COLONNA TAGLIATA.D;Sample;;28/09/2017 20:32;829;20117;58;56;34920;230896;110071;17903;23779;135081;19569;558697;147050;52;81599;13520;140;78954;106958;910;57224;3108;25;5641;74;0;92366;11279;5445;0;1003;261;112953;1560198;26;6380;55;667
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;25-2C3 COLONNA TAGLIATA.D;Sample;;28/09/2017 21:18;480;9128;126;231;30103;82389;44881;6204;16244;45164;2623;316634;24760;20;48039;1840;27;18494;17084;631;15404;676;59;0;0;0;25334;4351;4758;0;398;200;98721;1379115;33;3173;0;792
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;26-4B3 COLONNA TAGLIATA.D;Sample;;28/09/2017 22:04;1046;20186;5;46;41844;206290;103863;18916;27191;126772;17448;582568;136882;34;101628;17101;21;81872;112512;1247;59640;4277;132;0;418;0;43986;11423;5797;0;0;463;117171;1674133;22;6312;0;3
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;27-4C2 COLONNA TAGLIATA.D;Sample;;28/09/2017 22:51;1150;20524;71;216;83571;223227;118318;17195;57945;143262;20110;762487;177365;10;128206;20143;102;82713;114175;495;65509;4005;48;0;106;0;66108;13906;6749;3760;1429;331;110847;1667327;63;7892;0;493
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;28-2B3 COLONNA TAGLIATA.D;Sample;;28/09/2017 23:38;541;9158;46;19;12286;88234;50789;5001;10559;62506;3986;302523;27268;48;14145;408;40;23005;27977;548;22090;1735;92;0;0;0;32626;6911;245;4143;1675;283;100589;1652483;19;4327;0;582
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;29-2A1 COLONNA TAGLIATA.D;Sample;;29/09/2017 00:25;158;3165;12;84;8982;42733;24452;3712;6719;33062;1739;220560;29466;53;24511;4015;33;24784;25629;340;19830;928;74;0;0;0;30944;3955;4406;0;0;131;85459;1210146;27;3183;33;592
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;30-10B3 COLONNA TAGLIATA.D;Sample;;29/09/2017 01:13;384;9978;19;79;19692;111895;60655;6964;12762;75802;7456;334624;58464;59;70804;10863;78;41478;39740;413;35237;1772;35;7268;0;0;24746;6624;4380;0;0;58;87221;1253348;11;3891;0;13
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;31-4A1 COLONNA TAGLIATA.D;Sample;;29/09/2017 02:00;63;4168;27;46;8989;47321;24087;2487;7878;31366;4303;229377;32239;58;51461;7023;83;12305;20975;551;22177;1003;35;3231;0;0;28162;4241;3968;0;435;225;77375;1203204;9;3291;162;379
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;32-4B2 COLONNA TAGLIATA.D;Sample;;29/09/2017 02:46;321;5710;40;13;17250;102939;53173;8698;18023;88892;11459;454214;90014;6;64753;9184;89;52931;54664;694;39042;2196;64;8426;0;0;152343;8607;3440;0;977;174;10685;1473314;8;5787;749;40
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;33-4A2 COLONNA TAGLIATA.D;Sample;;29/09/2017 03:31;89;3247;23;11;6843;31214;15142;2103;4221;21796;1806;134250;27583;60;30869;3474;63;16129;18146;274;12517;804;26;0;163;0;42992;3216;2251;0;0;97;40638;481167;19;2333;0;511
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;34-10A2 COLONNA TAGLIATA.D;Sample;;29/09/2017 04:19;502;7281;71;317;17040;123186;64321;11285;15508;92644;12586;363431;85331;51;110853;16346;36;52924;64005;1841;41336;2775;23;0;0;0;29537;7804;3676;2027;147;104;75844;1187591;31;4620;0;862
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;35-9C3 COLONNA TAGLIATA.D;Sample;;29/09/2017 05:06;69;2755;5;96;8143;43942;28150;2421;5124;38198;4662;221074;28828;29;40190;6635;50;25780;19623;161;23142;1546;5;0;0;0;18371;4458;3100;1530;127;83;60489;957886;14;3007;27;683
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;36-4C3 COLONNA TAGLIATA.D;Sample;;29/09/2017 05:54;263;7335;80;329;15377;71137;38142;5159;8604;47483;4999;261570;38392;49;58522;7230;70;29184;25177;308;24442;1686;62;0;0;0;23148;3979;3160;1869;4407;226;64641;977854;18;2690;28;706
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;37-10A1 COLONNA TAGLIATA.D;Sample;;29/09/2017 06:41;601;11139;8;77;24088;113037;55462;8917;12987;60927;3972;330475;62227;3;52154;4846;47;42318;47997;399;32221;1373;21;0;116;0;47502;7369;5748;0;1954;404;121953;1782513;24;4693;20;583
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;38-2C1 COLONNA TAGLIATA.D;Sample;;29/09/2017 07:28;677;9731;10;118;15691;89755;48846;7646;7749;61711;8528;222670;54116;52;47238;10538;68;34432;48527;83;27948;1450;40;0;0;0;20366;5306;2453;0;280;85;44189;660478;38;2992;53;1750
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;39-2A2 COLONNA TAGLIATA.D;Sample;;29/09/2017 08:15;859;19479;176;34;29412;177859;87165;16552;16671;101719;14888;341580;93944;101;124219;13718;25;58443;80041;605;43077;2295;12;0;0;0;49768;8819;3910;0;0;230;81687;1176993;58;5209;19;617
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;40-BIANCO BIS COLONNA TAGLIATA.D;Sample;;29/09/2017 09:02;51;147;9;96;1391;578;1566;119;995;185;1762;67712;1744;40;25501;302;59;224;108;100;812;248;158;50945;0;0;23721;32;2364;2001;133;146;43572;630237;96;1098;69;625
